Date,Time,predict_Count
18/10/2023,06:00:00,10.351250684588788
18/10/2023,06:15:00,10.39422047972025
18/10/2023,06:30:00,11.362662825932256
18/10/2023,06:45:00,11.258635451577096
18/10/2023,07:00:00,12.207934250175875
18/10/2023,07:15:00,12.481704452686298
18/10/2023,07:30:00,13.44028592118371
18/10/2023,07:45:00,12.75177301749122
18/10/2023,08:00:00,12.909815749460526
18/10/2023,08:15:00,12.711671500026604
18/10/2023,08:30:00,12.50735434999581
18/10/2023,08:45:00,11.471155758547388
18/10/2023,09:00:00,13.437178126127279
18/10/2023,09:15:00,12.62219869120503
18/10/2023,09:30:00,12.23181583071377
18/10/2023,09:45:00,11.446788137894412
18/10/2023,10:00:00,11.587877978783622
18/10/2023,10:15:00,11.066432191125132
18/10/2023,10:30:00,11.427471367333409
18/10/2023,10:45:00,11.029669148227521
18/10/2023,11:00:00,11.256908059177858
18/10/2023,11:15:00,10.864222130167756
18/10/2023,11:30:00,11.366554645430739
18/10/2023,11:45:00,10.924473702305795
18/10/2023,12:00:00,11.34579364847368
18/10/2023,12:15:00,11.201791510594704
18/10/2023,12:30:00,11.576654888957595
18/10/2023,12:45:00,11.144765721939224
18/10/2023,13:00:00,12.427607891245463
18/10/2023,13:15:00,11.525107165415394
18/10/2023,13:30:00,11.847555321588148
18/10/2023,13:45:00,11.159441228107315
18/10/2023,14:00:00,11.672483785530888
18/10/2023,14:15:00,11.56068561106918
18/10/2023,14:30:00,11.75777205835901
18/10/2023,14:45:00,11.4265885773919
18/10/2023,15:00:00,11.96205242611178
18/10/2023,15:15:00,11.537398631606687
18/10/2023,15:30:00,12.256326070511493
18/10/2023,15:45:00,12.099726714085552
18/10/2023,16:00:00,12.185169036641733
18/10/2023,16:15:00,12.53409024218778
18/10/2023,16:30:00,13.025222692848622
18/10/2023,16:45:00,12.705947004939215
18/10/2023,17:00:00,13.775327830007372
18/10/2023,17:15:00,13.272174526491542
18/10/2023,17:30:00,14.399976686427129
18/10/2023,17:45:00,13.459033386194232
18/10/2023,18:00:00,13.043558459822183
18/10/2023,18:15:00,9.694199075451328
18/10/2023,18:30:00,13.612048777870184
18/10/2023,18:45:00,13.1968409187647
18/10/2023,19:00:00,13.220007979880911
18/10/2023,19:15:00,12.70457336733552
18/10/2023,19:30:00,12.888523126933384
18/10/2023,19:45:00,12.003167884140343
18/10/2023,20:00:00,12.31250614105811
18/10/2023,20:15:00,11.523620043058894
18/10/2023,20:30:00,11.726659696567685
18/10/2023,20:45:00,11.002349141937264
18/10/2023,21:00:00,11.4516229416516
18/10/2023,21:15:00,10.88051635292482
18/10/2023,21:30:00,11.197860370927863
18/10/2023,21:45:00,10.511160312052816
18/10/2023,06:00:00,8.758652610771147
18/10/2023,06:15:00,8.795011261506252
18/10/2023,06:30:00,9.489409046769124
18/10/2023,06:45:00,9.526431133436867
18/10/2023,07:00:00,10.743429505585958
18/10/2023,07:15:00,10.700493249146895
18/10/2023,07:30:00,11.224514250354016
18/10/2023,07:45:00,11.222027550048148
18/10/2023,08:00:00,10.781497633236523
18/10/2023,08:15:00,10.755909422301476
18/10/2023,08:30:00,10.445386203762467
18/10/2023,08:45:00,9.834155681184347
18/10/2023,09:00:00,10.931915540292152
18/10/2023,09:15:00,10.541297254467398
18/10/2023,09:30:00,10.486265174560488
18/10/2023,09:45:00,9.813265460519107
18/10/2023,10:00:00,9.805017848063313
18/10/2023,10:15:00,9.738865862747188
18/10/2023,10:30:00,9.669290694990393
18/10/2023,10:45:00,9.211312858742096
18/10/2023,11:00:00,9.777649131556318
18/10/2023,11:15:00,9.192700517442027
18/10/2023,11:30:00,9.744481750111808
18/10/2023,11:45:00,9.365488306915287
18/10/2023,12:00:00,9.600179552063704
18/10/2023,12:15:00,9.478332952138526
18/10/2023,12:30:00,10.055378353122162
18/10/2023,12:45:00,9.554343384990872
18/10/2023,13:00:00,10.110572216855704
18/10/2023,13:15:00,9.751904676994391
18/10/2023,13:30:00,9.894361944296469
18/10/2023,13:45:00,9.566924611799653
18/10/2023,14:00:00,9.876606576105289
18/10/2023,14:15:00,9.654785705174952
18/10/2023,14:30:00,9.94877276898731
18/10/2023,14:45:00,9.542795969668765
18/10/2023,15:00:00,9.860054651065347
18/10/2023,15:15:00,9.76230503205553
18/10/2023,15:30:00,10.507277661796074
18/10/2023,15:45:00,10.10496024594104
18/10/2023,16:00:00,10.723395283434071
18/10/2023,16:15:00,10.064578309035538
18/10/2023,16:30:00,11.166448302135949
18/10/2023,16:45:00,11.181698979686827
18/10/2023,17:00:00,11.504320997182935
18/10/2023,17:15:00,11.528091466200678
18/10/2023,17:30:00,12.184459370440706
18/10/2023,17:45:00,11.388285483410563
18/10/2023,18:00:00,11.036733708706048
18/10/2023,18:15:00,8.096008991644192
18/10/2023,18:30:00,11.66953092077984
18/10/2023,18:45:00,11.766740227218175
18/10/2023,19:00:00,11.634091475639147
18/10/2023,19:15:00,10.89155748445936
18/10/2023,19:30:00,11.049256552581063
18/10/2023,19:45:00,10.425843706043471
18/10/2023,20:00:00,10.418157896424134
18/10/2023,20:15:00,9.623830783622786
18/10/2023,20:30:00,10.053197733836713
18/10/2023,20:45:00,9.432250472227693
18/10/2023,21:00:00,9.68972641390996
18/10/2023,21:15:00,9.327803924779454
18/10/2023,21:30:00,9.475006640395584
18/10/2023,21:45:00,8.893959243636342
19/10/2023,06:00:00,16.547951365043435
19/10/2023,06:15:00,17.282223446637428
19/10/2023,06:30:00,18.16483800366812
19/10/2023,06:45:00,17.998535400831404
