Date,Time,predict_Count
03/05/2023,06:00:00,1.1795672555343868
03/05/2023,06:15:00,1.1690588643164785
03/05/2023,06:30:00,1.3466858075992718
03/05/2023,06:45:00,1.2662813532244992
03/05/2023,07:00:00,1.3551931844965102
03/05/2023,07:15:00,1.4038423815100851
03/05/2023,07:30:00,1.635179846418204
03/05/2023,07:45:00,1.6348175855547455
03/05/2023,08:00:00,1.4711261853331012
03/05/2023,08:15:00,1.546534736911423
03/05/2023,08:30:00,1.463073655809775
03/05/2023,08:45:00,1.3244101053953328
03/05/2023,09:00:00,1.4722503773854783
03/05/2023,09:15:00,1.4196440508364359
03/05/2023,09:30:00,1.393865327898808
03/05/2023,09:45:00,1.3215967251469478
25/04/2023,10:00:00,1.3033119218651896
25/04/2023,10:15:00,1.2610651066230487
25/04/2023,10:30:00,1.3193664942379535
25/04/2023,10:45:00,1.2405290529839144
25/04/2023,11:00:00,1.2660870699301991
25/04/2023,11:15:00,1.3045785316383416
25/04/2023,11:30:00,1.3471470602268147
25/04/2023,11:45:00,1.3466135150553398
25/04/2023,12:00:00,1.2928994846694926
25/04/2023,12:15:00,1.2764898534331552
25/04/2023,12:30:00,1.3720478269278242
25/04/2023,12:45:00,1.3737679775018556
25/04/2023,13:00:00,1.3264481784960718
25/04/2023,13:15:00,1.2962519623490665
25/04/2023,13:30:00,1.3151878029266342
25/04/2023,13:45:00,1.2716638659262416
26/04/2023,14:00:00,1.330127158901404
26/04/2023,14:15:00,1.2666516432224202
26/04/2023,14:30:00,1.3224202503935296
26/04/2023,14:45:00,1.3021063965170676
26/04/2023,15:00:00,1.381086914682203
26/04/2023,15:15:00,1.36739523400627
26/04/2023,15:30:00,1.3784936219738766
26/04/2023,15:45:00,1.360880577673615
26/04/2023,16:00:00,1.3885497353641831
26/04/2023,16:15:00,1.3378134646947868
26/04/2023,16:30:00,1.5437299170091372
26/04/2023,16:45:00,1.4290633919725533
26/04/2023,17:00:00,1.5493388022657208
26/04/2023,17:15:00,1.5124184466419341
26/04/2023,17:30:00,1.7519382998709179
26/04/2023,17:45:00,1.5951445117096013
04/05/2023,18:00:00,1.4479551711280028
04/05/2023,18:15:00,1.0903260503004075
04/05/2023,18:30:00,1.571588367903772
04/05/2023,18:45:00,1.5038338746299587
04/05/2023,19:00:00,1.486880862818711
04/05/2023,19:15:00,1.4289088961909702
04/05/2023,19:30:00,1.4307448206967641
04/05/2023,19:45:00,1.3678099613502284
04/05/2023,20:00:00,1.3314799556503973
04/05/2023,20:15:00,1.2792280023015206
04/05/2023,20:30:00,1.3017672746287514
04/05/2023,20:45:00,1.2702837179951783
04/05/2023,21:00:00,1.2879870440373864
04/05/2023,21:15:00,1.2078375672013564
04/05/2023,21:30:00,1.2594458577776637
04/05/2023,21:45:00,1.16683564345368
03/05/2023,06:00:00,9.420308897610498
03/05/2023,06:15:00,9.584063211212614
03/05/2023,06:30:00,11.787092987473095
03/05/2023,06:45:00,12.633535663234795
03/05/2023,07:00:00,20.02436373680476
03/05/2023,07:15:00,17.727632459141862
03/05/2023,07:30:00,25.46037239125906
03/05/2023,07:45:00,26.474319647350253
03/05/2023,08:00:00,23.82349273474421
03/05/2023,08:15:00,25.04466267827081
03/05/2023,08:30:00,23.38494057537676
03/05/2023,08:45:00,14.481554251904829
03/05/2023,09:00:00,16.098090482427327
03/05/2023,09:15:00,12.104560871437148
03/05/2023,09:30:00,13.547047691951152
03/05/2023,09:45:00,12.030831992495536
25/04/2023,10:00:00,11.40745579111245
25/04/2023,10:15:00,10.47457055513873
25/04/2023,10:30:00,10.816300415228197
25/04/2023,10:45:00,10.16998307103634
25/04/2023,11:00:00,10.379510287708749
25/04/2023,11:15:00,11.123457488151574
25/04/2023,11:30:00,11.044048314506286
25/04/2023,11:45:00,11.48186776374222
25/04/2023,12:00:00,11.316319191350773
25/04/2023,12:15:00,11.319916431872013
25/04/2023,12:30:00,12.327656688193764
25/04/2023,12:45:00,11.561056761122584
25/04/2023,13:00:00,11.01765084167496
25/04/2023,13:15:00,10.48859436260384
25/04/2023,13:30:00,11.213917184745988
25/04/2023,13:45:00,10.562605226413966
26/04/2023,14:00:00,10.762694773566434
26/04/2023,14:15:00,10.800074785829656
26/04/2023,14:30:00,11.42416560990792
26/04/2023,14:45:00,11.102378887469774
26/04/2023,15:00:00,11.622649875504937
26/04/2023,15:15:00,10.92034848290508
26/04/2023,15:30:00,11.753692728990371
26/04/2023,15:45:00,11.156637084276559
26/04/2023,16:00:00,11.995447082479025
26/04/2023,16:15:00,12.178457107822915
26/04/2023,16:30:00,11.699627843088138
26/04/2023,16:45:00,11.715606715409256
26/04/2023,17:00:00,14.478179622782097
26/04/2023,17:15:00,12.89559952699084
26/04/2023,17:30:00,15.134699631308523
26/04/2023,17:45:00,12.739209202467075
04/05/2023,18:00:00,11.716097553807634
04/05/2023,18:15:00,8.822349355488482
04/05/2023,18:30:00,12.226731829351511
04/05/2023,18:45:00,12.655636955165793
04/05/2023,19:00:00,12.512967497854502
04/05/2023,19:15:00,11.411611440980845
04/05/2023,19:30:00,11.88395229721255
04/05/2023,19:45:00,10.7815889596769
04/05/2023,20:00:00,10.495222286362399
04/05/2023,20:15:00,9.95221016658443
04/05/2023,20:30:00,10.261015837573897
04/05/2023,20:45:00,10.278472882175507
04/05/2023,21:00:00,10.421718957104607
04/05/2023,21:15:00,9.646082432171625
04/05/2023,21:30:00,9.927422623916389
04/05/2023,21:45:00,8.843219679843475
03/05/2023,06:00:00,0.9902553412027554
03/05/2023,06:15:00,1.020744730128059
